id,businessName,tagline,phone,email,address
623451,Security & Camera NY,Security You Can See. Peace You Can Feel.,+1 718-554-8699,info@securitycamerany.com,"75-11 164th St, Fresh Meadows, NY 11366, United States"
623452,F & O Security of NY,"Protecting Your Business, Day and Night.",+1 833-326-3663,info@fosecurityofny.com,"5 Pennsylvania Plaza, New York, NY 10001, United States"
623453,Signature Security,"Reliable Security Systems, Built to Last.",+1 347-921-2555,info@signaturesecurity.com,"1527 Franklin Ave LL2, Mineola, NY 11501, United States"
623454,Orbit Security Systems,Security You Can See. Peace You Can Feel.,+1 646-561-8618,info@orbitsecuritysystems.com,"442 Broadway, New York, NY 10013, United States"
623455,Tailored Security Solutions,"Protecting Your Business, Day and Night.",+44 161 706 2370,info@tailoredsecuritysolu.com,
623456,Smart Edgee,Control Every Entry. Protect What Matters.,+1 631-860-6997,info@smartedgee.com,
623457,Security Wizards Inc,Smart Access. Total Control.,+1 646-453-4881,info@securitywizardsinc.com,
623458,Hi Tech Home Security Camera Installation,"Every Angle Covered, Day and Night.",+1 929-214-1269,info@hitechhomesecurityca.com,"188 Montague St Unit 401, Brooklyn, NY 11201, United States"
623459,Smart Edgee LLC,Clear Vision. Constant Protection.,+1 631-759-9738,info@smartedgeellc.com,
623460,Global Security Solutions,One System. Total Visibility.,+1 212-624-1892,info@globalsecuritysoluti.com,"152 W 36th St. #305, New York, NY 10018, United States"
623461,HGI Solutions | Data Cabling | Office Wiring | Network Cabling| Phone Systems,"Integrated Security, Simplified.",+1 914-402-9408,info@hgisolutionsdatacabl.com,
623462,Signature Security,One System. Total Visibility.,+1 347-921-2555,info@signaturesecurity.com,
623463,Guard Management Services Co,"Integrated Security, Simplified.",+1 212-947-3377,info@guardmanagementservi.com,"11 Pennsylvania Plaza #110, New York, NY 10001, United States"
623464,Emmes Security,One System. Total Visibility.,+1 718-326-1875,info@emmessecurity.com,
623465,Secure Zone,"Reliable Security Systems, Built to Last.",+1 877-796-6344,info@securezone.com,"1115 S Elm Dr Ste. 511, Los Angeles, CA 90035, United States"
623466,Digital Surveillance,Security You Can See. Peace You Can Feel.,+1 310-901-4972,info@digitalsurveillance.com,"151 Rosecrans Ave Suite# 3, Gardena, CA 90248, United States"
